content:SentimentScore,,,
sentiment_score_company,sentiment_score_date,sentiment_score_score,sentiment_score_recommendation
Amgen,9/23/2022,0.064516129,Buy
Amgen,9/24/2022,-0.184466019,Strong Sell
Amgen,9/25/2022,0.020618557,Hold
Amgen,9/26/2022,-0.092783505,Sell
Amgen,9/27/2022,-0.103092784,Sell
Amgen,9/28/2022,0.020408163,Hold
Amgen,9/29/2022,0.056818182,Buy
Amgen,9/30/2022,-0.043478261,Hold
Amgen,10/1/2022,-0.034883721,Hold
Amgen,10/2/2022,-0.132075472,Sell
Amgen,10/3/2022,0.141509434,Buy
Amgen,10/4/2022,0.036585366,Hold
Amgen,10/5/2022,-0.142857143,Sell
Amgen,10/6/2022,0.022727273,Hold
Amgen,10/7/2022,-0.136842105,Sell
